store_id,store_name,brand,gsc_property,2026-05,2026-06,2026-07,2026-08,status
sunsmirai-kawachinagano-310,弁慶はりきゅう整骨院 河内長野市310号線院,サンズミライ,https://chiryou-in.biz/kawachinagano/,45,129,170,168,done
chokuei-abekawa,安倍川駅前総合治療院,直営,https://abekawa.chiryouin.biz/,55,213,255,234,done
chokuei-abikoekimae,我孫子駅前整骨院,直営,https://abikoekimae.chiryouin.biz/,472,1030,609,437,done
chokuei-asaka,朝霞エキナカ整骨院,直営,https://asaka.chiryou-in.biz/,338,1430,1400,1210,done
chokuei-awase,沖縄あわせ接骨院,直営,https://awase.chiryouin.biz/,256,815,648,580,done
chokuei-chitose,千歳駅南接骨院,直営,https://chitose.chiryouin.biz/,101,351,289,223,done
chokuei-c-kashiwanoha,柏の葉キャンパス駅前接骨院,直営,https://kashiwanoha.chiryouin.biz/,143,450,623,374,done
chokuei-creamall,川越クレアモール接骨院,直営,https://creamall.chiryouin.biz/,51,135,141,164,done
chokuei-e-kamiitabashi,上板橋駅前接骨院,直営,https://curacion.jp/kamiitabashi/,142,384,661,629,done
chokuei-e-kawama,川間駅前接骨院,直営,https://kawama.chiryouin.biz/,134,148,227,138,done
chokuei-e-minamisendai,南仙台東口接骨院,直営,https://minamisendai.chiryouin.biz/,61,125,171,189,done
chokuei-eniwa,恵庭駅前接骨院,直営,https://eniwa.chiryouin.biz/,264,590,820,834,done
chokuei-fuchinobe,淵野辺駅北口接骨院,直営,https://fuchinobe.chiryouin.biz/,79,124,177,106,done
chokuei-futawa,二和向台駅前整骨院,直営,http://futawamukodai.chiryouin.biz/,3,6,11,7,done
chokuei-genki,市川げんき整骨院,直営,https://genki.chiryouin.biz/,88,207,372,303,done
chokuei-ginowan,宜野湾うちどまり整骨院,直営,https://ginowan.chiryouin.biz/,171,305,285,235,done
chokuei-goi-h,五井駅東口接骨院,直営,https://goihigashi.chiryou-in.biz/,275,要確認,要確認,要確認,partial
chokuei-hachioji,八王子北口整骨院,直営,https://hachioji.chiryouin.biz/,390,1410,2740,832,done
chokuei-haijima,拝島駅南口接骨院,直営,https://haijima.chiryouin.biz/,23,64,88,79,done
chokuei-hanajiri,ハローズ花尻接骨院,直営,http://chiryou-in.biz/hanajiri/,0,0,0,0,done
chokuei-hatsuishi,初石駅前整骨院,直営,https://hatsuishi.chiryouin.biz/,32,527,103,110,done
chokuei-hattoritenjin,服部天神駅前接骨院,直営,http://hattori.chiryouin.biz/,2,6,19,19,done
chokuei-higashifukai,流山東深井接骨院,直営,http://higashifukai.chiryouin.biz/,1,6,5,4,done
chokuei-higashijujo,東十条駅前整骨院,直営,https://higashijujo.chiryouin.biz/,278,886,803,680,done
chokuei-higashikoganei,東小金井駅北口接骨院,直営,https://higashikoganei.chiryouin.biz/,264,239,212,198,done
chokuei-honda,誉田南口整骨院,直営,http://curacion.jp/honda/,5,5,10,10,done
chokuei-ichinomiya,一宮白旗通接骨院,直営,https://chiryouin.biz/ichinomiya/,5,29,51,49,done
chokuei-ijiri,井尻駅前接骨院,直営,https://ijiri.chiryouin.biz/,147,335,366,375,done
chokuei-ikebukuro,池袋駅前接骨院,直営,https://ikebukuro.chiryou-in.biz/,912,2730,2600,2330,done
chokuei-ikeshita,池下エキナカ接骨院,直営,http://ikeshita.chiryouin.biz/,1,7,7,7,done
chokuei-imaike,今池南接骨院,直営,https://imaike.chiryouin.biz/,513,495,388,370,done
chokuei-inagekaigan,稲毛海岸中央整骨院,直営,https://inagekaigan.chiryouin.biz/,要確認,要確認,要確認,要確認,partial
chokuei-ishida,静岡さわやか接骨院 静岡市駿河区石田院,直営,https://ishida.chiryou-in.biz/,要確認,382,470,666,partial
chokuei-jujo,十条銀座整骨院,直営,https://jujo.chiryou-in.biz/,477,766,965,708,done
chokuei-kamagaya,鎌ヶ谷西口整骨院,直営,https://kamagaya.chiryouin.biz/,158,451,505,466,done
chokuei-kameda,新潟亀田大通り接骨院,直営,https://chiryouin.biz/kameda/,21,50,58,83,done
chokuei-kamoi,鴨居南口接骨院,直営,https://kamoi.chiryou-in.biz/,152,645,522,588,done
chokuei-kashiwahigashi,柏駅東口接骨院,直営,https://kashiwahigashiguchi.chiryouin.biz/,309,992,1030,832,done
chokuei-s-motoyawata,本八幡南口接骨院,直営,http://motoyawata.chiryou-in.biz/,0,0,0,0,done
chokuei-nishijin,西新中央商店街接骨院,直営,https://nishijin.chiryouin.biz/,68,244,264,325,done
