HPB店舗名,院名,年月号,自社PV,エリア平均PV,自社CVR,エリア平均CVR,自社ACR,エリア平均ACR,新規予約数実績,女性率,20代未満比率,20代比率,30代比率,40代比率,50代以上比率,集客数_ribbon_ALL,_months
たまプラーザ東急百貨店,たまプラーザ東急百貨店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
イオン入間店,イオン入間店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
千歳烏山店,千歳烏山店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
水戸京成百貨店,水戸京成百貨店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
FKDインターパーク店,FKDインターパーク店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
浦和店,浦和店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
サクラス戸塚店,サクラス戸塚店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
梅ヶ丘店,梅ヶ丘店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
下高井戸店,下高井戸店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
阿佐ヶ谷店,阿佐ヶ谷店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
浜田山店,浜田山店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
笹塚店,笹塚店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
幡ヶ谷店,幡ヶ谷店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
西新宿店,西新宿店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
方南町店,方南町店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
中野新橋店,中野新橋店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
祖師谷店,祖師谷店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
桜上水店,桜上水店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
久我山店,久我山店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
武蔵小山店,武蔵小山店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
中野坂上店,中野坂上店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
新山下店,新山下店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
仙川店,仙川店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
戸越銀座店,戸越銀座店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
高円寺店,高円寺店,2026年08月号,1,1,1,1,1,1,1,50,10,20,30,20,20,0,1
