period,store,plan,resv,visit
前(9/4-9/10),本八幡南口接骨院,あはき,0,0
前(9/4-9/10),本八幡南口接骨院,ライト,19,19
前(9/4-9/10),ライフガーデン茂原整骨院,あはき,0,0
前(9/4-9/10),ライフガーデン茂原整骨院,ライト,7,7
前(9/4-9/10),新潟関屋整骨院,あはき,0,0
前(9/4-9/10),新潟関屋整骨院,ライト,4,4
前(9/4-9/10),新静岡駅前接骨院,あはき,2,2
前(9/4-9/10),新静岡駅前接骨院,ライト,13,12
前(9/4-9/10),八幡宿駅西口接骨院,あはき,1,0
前(9/4-9/10),八幡宿駅西口接骨院,ライト,4,4
後(9/11-9/17),本八幡南口接骨院,あはき,3,3
後(9/11-9/17),本八幡南口接骨院,ライト,12,12
後(9/11-9/17),ライフガーデン茂原整骨院,あはき,0,0
後(9/11-9/17),ライフガーデン茂原整骨院,ライト,5,5
後(9/11-9/17),新潟関屋整骨院,あはき,2,1
後(9/11-9/17),新潟関屋整骨院,ライト,5,5
後(9/11-9/17),新静岡駅前接骨院,あはき,1,1
後(9/11-9/17),新静岡駅前接骨院,ライト,3,3
後(9/11-9/17),八幡宿駅西口接骨院,あはき,3,3
後(9/11-9/17),八幡宿駅西口接骨院,ライト,3,3
第1段階のみ(9/11-9/16),本八幡南口接骨院,あはき,3,3
第1段階のみ(9/11-9/16),本八幡南口接骨院,ライト,11,11
第1段階のみ(9/11-9/16),ライフガーデン茂原整骨院,あはき,0,0
第1段階のみ(9/11-9/16),ライフガーデン茂原整骨院,ライト,5,5
第1段階のみ(9/11-9/16),新潟関屋整骨院,あはき,2,1
第1段階のみ(9/11-9/16),新潟関屋整骨院,ライト,5,5
第1段階のみ(9/11-9/16),新静岡駅前接骨院,あはき,1,1
第1段階のみ(9/11-9/16),新静岡駅前接骨院,ライト,2,2
第1段階のみ(9/11-9/16),八幡宿駅西口接骨院,あはき,3,3
第1段階のみ(9/11-9/16),八幡宿駅西口接骨院,ライト,2,2
第1+2段階(9/18-9/23),本八幡南口接骨院,あはき,5,2
第1+2段階(9/18-9/23),本八幡南口接骨院,ライト,6,6
第1+2段階(9/18-9/23),ライフガーデン茂原整骨院,あはき,1,1
第1+2段階(9/18-9/23),ライフガーデン茂原整骨院,ライト,4,4
第1+2段階(9/18-9/23),新潟関屋整骨院,あはき,3,1
第1+2段階(9/18-9/23),新潟関屋整骨院,ライト,4,4
第1+2段階(9/18-9/23),新静岡駅前接骨院,あはき,3,3
第1+2段階(9/18-9/23),新静岡駅前接骨院,ライト,3,3
第1+2段階(9/18-9/23),八幡宿駅西口接骨院,あはき,0,0
第1+2段階(9/18-9/23),八幡宿駅西口接骨院,ライト,2,2
