# あはき柔整プラン5院 実来院数(全件/新規/再診) - visit_type別
# 新規=CRM来院属性「新患」+「トライアル」。再診=それ以外。8月は外部シート「HPB月別予算比較売上」直営2026年8月タブの実績値をそのまま使用(あはきのみ、ライトプランは定義差が大きいため非掲載)
# 9月はSalonBoard予約一覧xCRM(LiGUA)の簡易照合(電話/かな名、キャンセル除外)。9/25時点のデータのため9月単月は実質9/24までの値(9/25-30分はまだ来院確認できていない予約を含む)
period,days,store,plan,visits_all,visits_new,visits_repeat
8月単月(8/1-8/31),31,本八幡南口,あはき,1,1,0
8月単月(8/1-8/31),31,ライフガーデン茂原,あはき,2,2,0
8月単月(8/1-8/31),31,新潟関屋,あはき,1,1,0
8月単月(8/1-8/31),31,新静岡駅前,あはき,3,3,0
8月単月(8/1-8/31),31,八幡宿西口,あはき,0,0,0
改修前(9/4-9/10),7,本八幡南口,あはき,0,0,0
改修前(9/4-9/10),7,本八幡南口,ライト,19,5,14
改修前(9/4-9/10),7,ライフガーデン茂原,あはき,0,0,0
改修前(9/4-9/10),7,ライフガーデン茂原,ライト,7,7,0
改修前(9/4-9/10),7,新潟関屋,あはき,0,0,0
改修前(9/4-9/10),7,新潟関屋,ライト,4,4,0
改修前(9/4-9/10),7,新静岡駅前,あはき,2,2,0
改修前(9/4-9/10),7,新静岡駅前,ライト,12,12,0
改修前(9/4-9/10),7,八幡宿西口,あはき,0,0,0
改修前(9/4-9/10),7,八幡宿西口,ライト,4,4,0
第1段階後(9/11-9/17),7,本八幡南口,あはき,3,3,0
第1段階後(9/11-9/17),7,本八幡南口,ライト,12,9,3
第1段階後(9/11-9/17),7,ライフガーデン茂原,あはき,0,0,0
第1段階後(9/11-9/17),7,ライフガーデン茂原,ライト,5,5,0
第1段階後(9/11-9/17),7,新潟関屋,あはき,1,1,0
第1段階後(9/11-9/17),7,新潟関屋,ライト,5,3,2
第1段階後(9/11-9/17),7,新静岡駅前,あはき,1,1,0
第1段階後(9/11-9/17),7,新静岡駅前,ライト,3,3,0
第1段階後(9/11-9/17),7,八幡宿西口,あはき,3,3,0
第1段階後(9/11-9/17),7,八幡宿西口,ライト,3,3,0
第1+2段階後(9/18-9/23),6,本八幡南口,あはき,2,0,2
第1+2段階後(9/18-9/23),6,本八幡南口,ライト,6,5,1
第1+2段階後(9/18-9/23),6,ライフガーデン茂原,あはき,1,1,0
第1+2段階後(9/18-9/23),6,ライフガーデン茂原,ライト,4,4,0
第1+2段階後(9/18-9/23),6,新潟関屋,あはき,1,1,0
第1+2段階後(9/18-9/23),6,新潟関屋,ライト,4,4,0
第1+2段階後(9/18-9/23),6,新静岡駅前,あはき,3,3,0
第1+2段階後(9/18-9/23),6,新静岡駅前,ライト,3,3,0
第1+2段階後(9/18-9/23),6,八幡宿西口,あはき,0,0,0
第1+2段階後(9/18-9/23),6,八幡宿西口,ライト,2,2,0
改修後通算(9/11-9/23),13,本八幡南口,あはき,5,3,2
改修後通算(9/11-9/23),13,本八幡南口,ライト,18,14,4
改修後通算(9/11-9/23),13,ライフガーデン茂原,あはき,1,1,0
改修後通算(9/11-9/23),13,ライフガーデン茂原,ライト,9,9,0
改修後通算(9/11-9/23),13,新潟関屋,あはき,2,2,0
改修後通算(9/11-9/23),13,新潟関屋,ライト,9,7,2
改修後通算(9/11-9/23),13,新静岡駅前,あはき,4,4,0
改修後通算(9/11-9/23),13,新静岡駅前,ライト,6,6,0
改修後通算(9/11-9/23),13,八幡宿西口,あはき,3,3,0
改修後通算(9/11-9/23),13,八幡宿西口,ライト,5,5,0
9月単月(9/1-9/30),30,本八幡南口,あはき,6,4,2
9月単月(9/1-9/30),30,本八幡南口,ライト,39,21,18
9月単月(9/1-9/30),30,ライフガーデン茂原,あはき,2,2,0
9月単月(9/1-9/30),30,ライフガーデン茂原,ライト,19,19,0
9月単月(9/1-9/30),30,新潟関屋,あはき,4,4,0
9月単月(9/1-9/30),30,新潟関屋,ライト,14,12,2
9月単月(9/1-9/30),30,新静岡駅前,あはき,8,8,0
9月単月(9/1-9/30),30,新静岡駅前,ライト,20,20,0
9月単月(9/1-9/30),30,八幡宿西口,あはき,3,3,0
9月単月(9/1-9/30),30,八幡宿西口,ライト,10,10,0
8月単月(8/1-8/31),31,5院合計,あはき,7,7,0
改修前(9/4-9/10),7,5院合計,あはき,2,2,0
改修前(9/4-9/10),7,5院合計,ライト,46,32,14
第1段階後(9/11-9/17),7,5院合計,あはき,8,8,0
第1段階後(9/11-9/17),7,5院合計,ライト,28,23,5
第1+2段階後(9/18-9/23),6,5院合計,あはき,7,5,2
第1+2段階後(9/18-9/23),6,5院合計,ライト,19,18,1
改修後通算(9/11-9/23),13,5院合計,あはき,15,13,2
改修後通算(9/11-9/23),13,5院合計,ライト,47,41,6
9月単月(9/1-9/30),30,5院合計,あはき,23,21,2
9月単月(9/1-9/30),30,5院合計,ライト,102,82,20
