店舗キー,対象年月,サロン情報PV数(自店),サロン情報PV数(同P同A平均),CVR(自店),CVR(同P同A平均),ACR(自店),ACR(同P同A平均),予約数(自店),予約数(同P同A平均),予約売上高(自店),予約売上高(同P同A平均),総PV数(自店),総PV数(同P同A平均),ブログPV数(自店),ブログPV数(同P同A平均),クーポンメニューPV数(自店),クーポンメニューPV数(同P同A平均),フォトギャラリーPV数(自店),フォトギャラリーPV数(同P同A平均)
ahaki-motoyawata,202608,325,761,56.6,64.7,0,7,1,32,2480,141604,630,3038,0,1124,177,482,14,25
ahaki-motoyawata,202609,502,771,73.7,73.6,2.7,5.7,8,21,7440,108569,1141,2957,21,883,363,557,26,29
ahaki-lifegarden-mobara,202608,296,464,63.2,58.9,1.6,8.1,3,22,8940,95627,593,1300,0,168,179,267,14,13
ahaki-lifegarden-mobara,202609,375,519,74.4,74.1,1.8,6.8,1,17,1480,73560,943,1559,17,137,274,379,17,18
ahaki-niigata-sekiya,202608,240,812,47.9,61.1,0,5,1,24,2480,109864,464,2786,0,837,114,483,9,26
ahaki-niigata-sekiya,202609,440,839,85.2,68.5,2.1,4.7,6,18,9440,87520,1157,2781,7,624,371,562,20,30
ahaki-shinshizuoka,202608,456,700,72.8,63.2,0.6,4.7,3,21,11940,122621,984,2434,0,729,325,431,17,29
ahaki-shinshizuoka,202609,714,690,61.6,72.3,2.5,4.7,8,15,22840,97270,1664,2165,14,356,430,490,36,32
ahaki-yawatajuku,202608,309,464,56.6,58.9,0,8.1,0,22,0,95627,644,1300,0,168,172,267,24,13
ahaki-yawatajuku,202609,392,519,73.2,74.1,2.1,6.8,4,17,9420,73560,908,1559,12,137,284,379,17,18
light-motoyawata,202607,1464,2801,55.6,50,5.2,10,34,111,48400,635739,4463,7641,1003,1376,755,1365,48,86
light-motoyawata,202608,1175,2327,52.3,53.9,3.6,9.3,23,117,32540,675336,5061,6719,2163,1370,585,1224,46,75
light-motoyawata,202609,1088,2168,56.7,58,7.5,9.1,40,79,32560,469328,3282,6260,482,1041,586,1229,45,75
light-lifegarden-mobara,202607,938,1924,77.9,53.3,6.4,8.4,30,66,45420,369814,3082,5187,705,788,701,1000,22,68
light-lifegarden-mobara,202608,909,1463,67.9,57.5,5.8,8.2,33,67,44900,373092,3226,4129,965,702,590,821,18,54
light-lifegarden-mobara,202609,831,1440,78.6,64,3.8,7,19,47,24160,287799,2667,4038,430,504,627,900,34,61
light-niigata-sekiya,202607,761,1327,59.9,51.3,2.4,6.7,8,34,10360,215713,4059,3558,2032,608,430,665,19,53
light-niigata-sekiya,202608,644,1084,63,54.8,3.2,6.1,11,36,13820,232363,4167,3108,2391,605,393,581,17,45
light-niigata-sekiya,202609,640,1048,80.9,62.5,3.5,5.8,13,27,17760,185478,3302,3039,1401,441,482,641,20,47
light-shinshizuoka,202607,1479,2049,64,51.3,4.9,7.7,32,64,40420,393630,5325,6517,1798,1783,907,1030,42,64
light-shinshizuoka,202608,1073,1702,67.6,56.3,3.4,7.6,24,74,29560,462772,4267,5854,1632,1767,700,939,28,59
light-shinshizuoka,202609,1109,1637,69.4,60.5,3.8,7.1,21,50,30100,331510,3533,5580,730,1528,736,972,34,54
light-yawatajuku,202607,873,1924,64.5,53.3,3.4,8.4,13,66,17760,369814,4093,5187,2042,788,536,1000,35,68
light-yawatajuku,202608,652,1463,70.9,57.5,5.4,8.2,24,67,38020,373092,3503,4129,1838,702,439,821,26,54
light-yawatajuku,202609,663,1440,71.3,64,3.6,7,11,47,13800,287799,2834,4038,1106,504,450,900,33,61
